
HST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-8-1,89,84,78,70,67,65,71,59,46,30.00,29.97,29.92,10,10,10,23,12,29,0.00,3,,65<br />
2014-8-2,89,84,79,70,69,67,74,64,53,30.01,29.97,29.94,10,10,10,21,12,26,0.00,5,,60<br />
2014-8-3,90,84,78,68,67,64,71,58,44,30.01,29.98,29.93,10,10,10,24,13,29,0.00,3,,60<br />
2014-8-4,89,84,79,69,67,65,71,61,50,30.04,29.99,29.95,10,10,10,23,14,35,T,4,,61<br />
2014-8-5,89,84,78,67,65,62,67,54,41,30.05,30.02,29.98,10,10,10,25,15,32,0.00,3,,63<br />
2014-8-6,88,82,75,70,66,59,82,61,39,30.05,30.01,29.97,10,10,10,23,12,30,T,4,,58<br />
2014-8-7,89,83,76,71,68,66,82,65,47,30.01,29.98,29.93,10,10,6,20,12,31,0.02,4,Rain,52<br />
2014-8-8,87,82,77,75,71,66,91,71,51,29.97,29.92,29.88,10,9,2,31,20,41,0.34,7,Rain,70<br />
2014-8-9,87,82,76,73,71,69,87,72,57,30.01,29.96,29.91,10,10,10,17,7,23,0.06,7,Rain,61<br />
2014-8-10,90,83,75,71,69,66,82,66,50,30.04,29.97,29.93,10,10,10,17,6,24,0.00,3,,6<br />
2014-8-11,87,80,73,71,68,65,79,65,51,30.06,30.01,29.97,10,10,10,14,6,17,0.00,2,,301<br />
2014-8-12,87,81,75,73,70,67,82,69,55,30.05,30.01,29.95,10,10,6,16,6,20,0.00,3,Rain,322<br />
2014-8-13,89,83,76,73,68,61,94,67,40,30.01,29.98,29.94,10,10,8,18,8,26,T,3,Rain,56<br />
2014-8-14,90,84,77,68,65,61,74,58,41,30.00,29.97,29.94,10,10,10,20,9,29,0.00,3,,53<br />
2014-8-15,88,82,76,68,65,63,71,57,43,30.01,29.98,29.95,10,10,10,22,11,28,T,3,,59<br />
2014-8-16,89,83,77,68,66,63,74,60,46,30.03,29.99,29.96,10,10,10,22,13,29,T,4,,60<br />
2014-8-17,88,83,78,69,67,65,69,60,50,30.04,30.01,29.98,10,10,10,21,11,28,T,4,Rain,62<br />
2014-8-18,89,83,77,67,65,64,67,56,44,30.02,29.99,29.95,10,10,10,22,11,26,0.00,3,,57<br />
2014-8-19,89,82,75,69,66,62,82,64,46,29.99,29.96,29.91,10,10,10,22,9,29,T,4,,57<br />
2014-8-20,90,83,76,69,66,64,74,59,44,30.01,29.97,29.93,10,10,10,18,10,25,0.00,3,,52<br />
2014-8-21,88,82,76,70,69,67,79,67,55,30.04,30.00,29.96,10,10,10,20,8,26,0.00,4,Rain,52<br />
2014-8-22,87,83,78,70,67,65,71,61,50,30.03,30.00,29.95,10,10,9,22,12,29,T,5,Rain,47<br />
2014-8-23,90,83,75,69,65,62,79,60,41,30.00,29.95,29.89,10,10,10,20,8,26,0.00,4,,43<br />
2014-8-24,89,82,75,72,69,65,87,67,46,29.96,29.93,29.88,10,10,2,18,6,24,0.05,4,Rain,37<br />
2014-8-25,90,83,75,71,69,65,87,66,44,29.97,29.93,29.89,10,10,9,17,9,29,0.01,5,Rain,40<br />
2014-8-26,88,82,75,71,68,65,87,67,46,29.97,29.93,29.88,10,10,10,21,8,28,T,4,Rain,33<br />
2014-8-27,89,83,77,68,65,62,71,57,43,29.94,29.91,29.86,10,10,10,22,10,33,0.00,3,,50<br />
2014-8-28,89,81,73,68,66,63,74,59,43,29.93,29.89,29.83,10,10,10,21,7,26,T,3,,29<br />
2014-8-29,90,82,74,68,66,61,79,60,40,29.94,29.91,29.87,10,10,10,17,6,22,0.00,3,,24<br />
2014-8-30,89,83,76,68,66,60,79,60,40,29.98,29.93,29.90,10,10,10,16,7,23,0.00,3,,40<br />
2014-8-31,87,81,74,70,68,64,79,63,46,30.03,29.98,29.94,10,10,10,21,7,24,0.00,3,,76<br />
