
MDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-3-1,47,37,27,24,20,15,78,56,34,30.27,30.15,30.01,10,10,9,21,6,25,0.01,2,Snow,150<br />
2015-3-2,49,38,27,25,21,17,75,54,33,29.98,29.84,29.73,10,10,10,22,9,28,0.00,2,,302<br />
2015-3-3,46,37,28,25,18,12,69,49,29,30.15,30.03,29.88,10,10,10,23,13,29,0.00,1,,311<br />
2015-3-4,45,33,20,16,13,9,73,48,22,30.39,30.31,30.17,10,10,10,12,4,16,0.00,0,,289<br />
2015-3-5,57,42,26,22,17,15,63,43,22,30.46,30.40,30.33,10,10,10,12,3,18,0.00,0,,123<br />
2015-3-6,60,46,31,26,23,19,63,43,23,30.48,30.40,30.34,10,10,10,10,4,13,0.00,0,,178<br />
2015-3-7,62,49,35,29,27,24,64,45,25,30.34,30.23,30.13,10,10,10,9,5,13,0.00,0,,130<br />
2015-3-8,62,47,32,28,25,23,72,48,23,30.21,30.14,30.08,10,10,10,15,6,20,0.00,0,,203<br />
2015-3-9,64,49,34,29,25,20,70,44,18,30.16,30.09,30.01,10,10,10,12,5,16,0.00,0,,125<br />
2015-3-10,71,54,36,31,24,20,52,34,16,30.09,30.00,29.93,10,10,10,16,6,20,0.00,0,,136<br />
2015-3-11,61,54,46,43,32,23,74,51,27,30.16,30.02,29.88,10,10,10,16,6,18,T,6,,122<br />
2015-3-12,64,55,45,44,40,37,86,63,39,30.40,30.32,30.17,10,10,10,20,7,25,0.00,3,,300<br />
2015-3-13,70,56,41,38,34,30,73,48,23,30.39,30.29,30.13,10,10,10,20,10,24,0.00,0,,143<br />
2015-3-14,66,59,52,48,38,28,77,53,28,30.18,30.08,30.01,10,10,8,18,11,24,0.11,5,Rain,131<br />
2015-3-15,68,59,50,49,42,34,83,56,29,30.04,29.95,29.86,10,10,10,21,10,28,T,2,Rain,126<br />
2015-3-16,60,54,47,45,40,37,86,65,44,30.19,30.09,30.03,10,10,10,15,4,20,0.01,5,Rain,319<br />
2015-3-17,60,53,45,44,42,39,86,66,46,30.06,30.01,29.97,10,10,9,13,5,18,T,4,Rain,308<br />
2015-3-18,59,49,38,41,34,30,85,61,36,30.22,30.17,30.07,10,10,10,21,8,32,0.00,2,,308<br />
2015-3-19,64,49,34,35,30,28,75,51,27,30.25,30.19,30.10,10,10,10,10,3,12,0.00,0,,139<br />
2015-3-20,72,55,38,40,32,24,64,41,18,30.13,30.05,29.96,10,10,10,16,6,18,0.00,0,,153<br />
2015-3-21,65,55,45,39,33,26,63,44,25,30.08,30.02,29.91,10,10,10,18,7,23,0.00,2,,4<br />
2015-3-22,68,55,42,39,28,24,59,41,22,30.06,29.97,29.82,10,10,10,21,8,29,T,2,,132<br />
2015-3-23,54,47,40,44,33,23,86,59,32,30.08,30.00,29.84,10,10,2,31,10,41,0.06,4,Rain,281<br />
2015-3-24,52,44,35,40,32,25,92,64,35,30.28,30.10,30.01,10,9,5,25,11,31,0.31,4,Rain,278<br />
2015-3-25,54,43,32,36,30,26,82,59,35,30.43,30.39,30.30,10,10,10,13,4,16,T,3,,68<br />
2015-3-26,65,50,34,39,36,31,92,65,37,30.44,30.36,30.25,10,10,10,10,4,14,0.00,0,,280<br />
2015-3-27,77,61,45,45,41,38,77,52,26,30.25,30.10,29.90,10,10,10,17,7,22,0.00,0,,144<br />
2015-3-28,62,52,42,42,33,25,74,50,25,30.30,30.16,29.88,10,10,10,39,12,46,T,1,,341<br />
2015-3-29,67,52,37,31,28,24,70,45,20,30.34,30.25,30.15,10,10,10,12,5,13,0.00,0,,160<br />
2015-3-30,77,59,40,36,31,28,70,44,18,30.17,30.04,29.83,10,10,10,20,6,28,0.00,0,,135<br />
2015-3-31,68,55,41,36,30,27,53,40,26,30.06,29.87,29.77,10,10,10,32,13,43,T,3,,307<br />
