
EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-12-1,39,33,26,37,26,17,92,72,51,30.56,30.41,30.17,10,8,2,22,14,27,0.02,7,Rain,358<br />
2014-12-2,33,30,26,31,26,16,92,78,63,30.47,30.29,30.14,10,5,1,15,9,20,0.01,8,,123<br />
2014-12-3,43,36,28,31,28,22,92,72,51,30.39,30.25,30.13,10,8,2,18,10,24,0.01,6,Rain-Snow,253<br />
2014-12-4,35,32,29,31,26,20,89,74,59,30.43,30.33,30.24,10,7,2,12,7,,0.06,8,Rain-Snow,92<br />
2014-12-5,40,37,34,40,37,31,100,91,82,30.25,30.17,30.07,9,2,0,16,7,20,0.98,8,Fog-Rain,78<br />
2014-12-6,40,35,30,40,33,26,100,85,70,30.59,30.33,30.08,10,7,3,25,14,32,0.26,8,Rain,15<br />
2014-12-7,39,33,26,27,25,22,85,72,59,30.62,30.52,30.34,10,10,9,16,10,20,0.00,5,,76<br />
2014-12-8,41,36,31,38,33,26,100,85,70,30.32,30.16,30.07,10,7,2,16,8,18,0.06,8,Rain,198<br />
2014-12-9,39,36,32,36,32,30,96,86,76,30.31,30.19,30.07,10,7,2,21,13,25,0.01,8,Rain,321<br />
2014-12-10,35,33,30,32,26,23,89,77,64,30.34,30.28,30.22,10,10,10,16,10,18,T,8,,340<br />
2014-12-11,37,31,25,27,24,22,85,75,64,30.30,30.25,30.21,10,9,6,17,10,21,0.00,5,,308<br />
2014-12-12,35,29,22,31,27,20,96,89,82,30.37,30.33,30.26,7,5,4,15,8,19,0.00,6,,267<br />
2014-12-13,46,40,34,37,34,30,89,80,70,30.31,30.25,30.17,10,7,4,15,7,18,0.00,8,,237<br />
2014-12-14,48,45,41,43,41,38,100,91,82,30.19,30.14,30.10,10,5,0,13,7,15,T,8,Rain,191<br />
2014-12-15,44,43,41,42,38,35,100,88,76,30.09,29.93,29.72,10,6,2,22,10,26,0.01,8,Rain,151<br />
2014-12-16,46,39,31,45,37,29,100,92,83,30.16,29.88,29.68,10,6,2,30,17,37,0.19,8,Rain-Snow,252<br />
2014-12-17,31,27,23,29,22,17,92,83,74,30.32,30.25,30.14,10,8,5,23,11,27,T,8,Snow,285<br />
2014-12-18,27,25,22,21,20,18,81,78,74,30.33,30.28,30.22,10,9,2,9,3,10,T,7,Snow,310<br />
2014-12-19,29,24,19,24,20,16,92,84,75,30.34,30.30,30.25,10,8,6,9,3,10,0.00,6,,311<br />
2014-12-20,32,29,25,25,23,21,92,78,63,30.32,30.29,30.23,10,7,4,7,1,8,0.00,7,,216<br />
2014-12-21,36,28,20,27,24,18,100,85,70,30.32,30.23,30.08,8,6,4,13,6,16,0.00,4,,119<br />
2014-12-22,46,37,27,42,33,24,92,84,76,30.08,29.85,29.66,10,8,5,16,10,21,0.04,8,Rain,116<br />
2014-12-23,55,50,45,49,46,43,100,86,71,29.80,29.71,29.63,10,8,2,15,8,19,0.17,7,Rain,199<br />
2014-12-24,45,40,34,42,37,32,100,96,92,29.73,29.61,29.49,10,6,2,23,14,27,0.52,8,Rain-Snow,316<br />
2014-12-25,41,36,31,33,31,29,100,85,70,30.14,30.01,29.74,10,10,7,21,12,28,0.01,6,Rain,217<br />
2014-12-26,52,41,30,40,35,28,96,80,63,30.19,30.14,30.11,10,10,10,17,10,21,0.00,4,,180<br />
2014-12-27,46,40,33,45,41,32,100,85,70,30.14,30.10,30.05,10,5,0,18,11,24,0.20,8,Rain,224<br />
2014-12-28,33,28,22,32,26,20,96,87,78,30.25,30.17,30.09,10,10,8,16,8,18,T,7,Rain,322<br />
2014-12-29,37,29,20,23,20,18,92,74,56,30.41,30.32,30.25,10,8,5,15,8,21,0.00,3,,28<br />
2014-12-30,31,23,15,20,15,5,77,65,53,30.64,30.56,30.39,10,10,10,18,10,22,0.00,5,,341<br />
2014-12-31,23,16,9,7,4,0,73,56,39,30.63,30.51,30.33,10,10,10,20,11,24,0.00,1,,260<br />
