
AKST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-12-1,28,19,9,26,16,9,96,90,84,30.06,30.02,29.96,10,9,1,16,3,18,0.05,7,Snow,84<br />
2014-12-2,39,33,27,36,31,25,100,95,89,30.03,29.96,29.90,10,5,1,20,12,23,0.40,8,Rain-Snow,85<br />
2014-12-3,38,35,31,36,33,30,100,96,92,30.01,29.96,29.92,10,5,0,13,2,15,T,7,Fog-Rain,88<br />
2014-12-4,32,27,21,31,23,20,100,94,88,30.03,30.00,29.92,10,9,0,5,0,5,0.00,6,Fog,117<br />
2014-12-5,27,22,17,25,21,15,100,94,88,29.91,29.82,29.67,10,9,0,5,1,6,0.00,6,Fog,97<br />
2014-12-6,34,30,25,33,30,25,100,96,92,29.95,29.76,29.60,10,6,1,13,2,15,0.13,8,Rain-Snow,106<br />
2014-12-7,37,35,33,36,33,32,100,98,96,29.96,29.75,29.49,10,7,1,10,1,13,0.01,8,Rain,95<br />
2014-12-8,40,37,34,40,35,33,100,96,92,29.48,29.20,29.00,10,8,5,9,1,11,0.05,8,Fog-Rain,277<br />
2014-12-9,44,39,34,41,36,34,100,92,83,29.07,28.89,28.82,10,4,0,28,8,35,0.25,8,Fog-Rain,13<br />
2014-12-10,39,36,33,38,35,32,100,96,92,29.20,28.99,28.86,10,4,0,13,3,15,0.09,8,Fog-Rain,151<br />
2014-12-11,37,35,32,36,35,32,100,96,92,29.27,29.12,28.97,10,2,0,7,1,7,0.10,8,Fog-Rain,94<br />
2014-12-12,42,39,35,39,37,34,100,93,86,29.82,29.52,29.27,10,8,2,15,7,17,0.16,8,Rain,80<br />
2014-12-13,42,39,36,39,38,36,100,91,82,30.03,29.98,29.83,10,10,9,16,8,20,0.02,8,Rain,85<br />
2014-12-14,46,40,34,36,34,30,100,79,58,30.00,29.84,29.71,10,10,10,24,11,30,T,8,Rain,111<br />
2014-12-15,46,43,39,37,35,31,86,70,53,29.70,29.58,29.51,10,10,10,23,11,31,T,8,Rain,122<br />
2014-12-16,43,39,35,38,36,34,92,87,82,29.71,29.59,29.56,10,10,6,20,13,22,0.25,8,Rain,98<br />
2014-12-17,38,35,31,36,32,29,100,96,92,29.80,29.76,29.68,10,6,0,17,5,20,T,7,Fog-Rain,80<br />
2014-12-18,39,35,30,31,28,24,100,80,59,29.67,29.52,29.36,10,8,0,21,6,27,T,8,Fog,100<br />
2014-12-19,36,33,30,33,31,29,100,91,82,29.39,29.32,29.21,10,9,2,8,2,9,0.02,8,Snow,278<br />
2014-12-20,38,35,32,34,32,31,100,91,82,29.19,29.06,28.97,10,10,6,12,3,12,0.02,8,Rain,274<br />
2014-12-21,39,37,34,36,35,34,100,96,92,29.76,29.42,29.20,10,8,3,20,3,22,0.15,8,Fog-Rain,32<br />
2014-12-22,41,38,35,38,37,34,100,93,85,30.11,29.98,29.80,10,10,7,17,8,21,0.35,8,Rain,76<br />
2014-12-23,41,33,25,32,29,23,100,75,50,29.82,29.56,29.46,10,9,1,13,2,18,0.00,5,,259<br />
2014-12-24,36,29,22,33,27,21,100,88,75,29.91,29.84,29.65,10,10,5,14,2,17,0.00,6,Rain-Snow,75<br />
2014-12-25,39,37,34,37,35,33,100,96,92,30.11,30.00,29.91,10,9,5,17,11,20,0.19,8,Rain,82<br />
2014-12-26,40,37,34,38,36,34,100,96,92,30.14,30.06,29.99,10,8,5,12,6,16,0.13,8,Rain,70<br />
2014-12-27,36,30,23,34,29,22,100,96,92,30.56,30.32,30.03,10,8,0,10,2,14,T,4,Fog,255<br />
2014-12-28,32,26,19,22,17,11,96,71,46,30.89,30.76,30.57,10,10,10,18,4,21,0.00,1,Fog,89<br />
2014-12-29,27,22,16,22,17,14,92,80,68,30.89,30.83,30.78,10,10,10,8,1,9,0.00,4,,237<br />
2014-12-30,36,28,20,32,25,19,100,86,72,30.81,30.78,30.69,10,10,6,22,11,27,0.01,8,Rain-Snow,97<br />
2014-12-31,39,36,33,37,35,32,100,96,92,30.68,30.47,30.23,10,8,4,21,13,24,0.27,8,Rain-Snow,79<br />
