
MST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2014-1-1,50,38,25,21,17,14,72,50,26,30.27,30.12,30.03,10,10,10,14,5,20,0.00,0,,337<br />
2014-1-2,46,32,19,21,15,10,88,56,23,30.39,30.30,30.21,10,10,8,16,6,,0.00,0,,351<br />
2014-1-3,46,34,21,18,14,11,68,46,24,30.18,30.03,29.82,10,10,10,15,8,,0.00,0,,324<br />
2014-1-4,52,38,23,18,11,-11,61,37,18,29.94,29.79,29.59,10,10,8,26,8,39,0.00,1,,300<br />
2014-1-5,33,22,12,3,-1,-9,67,39,16,30.32,30.15,29.94,10,10,10,18,8,24,0.00,0,,348<br />
2014-1-6,37,22,8,5,-2,-9,73,39,14,30.49,30.38,30.32,10,10,10,18,7,24,0.00,0,,342<br />
2014-1-7,39,28,18,10,3,-1,60,37,24,30.32,30.19,30.06,10,10,10,17,10,,0.00,0,,334<br />
2014-1-8,43,31,19,15,9,6,66,45,25,30.13,30.08,30.02,10,10,9,14,8,,0.00,1,,359<br />
2014-1-9,43,31,19,16,14,12,71,48,30,30.12,29.99,29.85,10,10,8,17,4,,0.00,1,,344<br />
2014-1-10,46,37,28,18,13,10,54,41,22,30.07,29.88,29.74,10,10,8,29,11,38,0.00,1,,268<br />
2014-1-11,50,38,25,19,17,13,66,46,29,30.20,30.09,29.94,10,10,10,20,9,,0.00,0,,300<br />
2014-1-12,52,40,21,18,11,-2,56,35,16,30.09,29.88,29.71,10,10,7,30,10,40,0.00,0,,278<br />
2014-1-13,43,30,18,14,8,4,57,43,25,30.29,30.21,30.08,10,10,10,21,11,28,0.00,0,,340<br />
2014-1-14,48,37,21,15,12,7,63,45,19,30.42,30.30,30.18,10,10,10,17,11,28,0.00,0,,343<br />
2014-1-15,48,32,16,14,12,10,77,48,22,30.44,30.31,30.18,10,10,4,12,6,,0.00,0,,348<br />
2014-1-16,51,38,26,14,10,5,53,37,15,30.26,30.18,30.09,10,10,10,20,12,28,0.00,0,,349<br />
2014-1-17,48,31,14,11,8,6,80,42,18,30.36,30.23,30.14,10,10,10,13,5,,0.00,0,,11<br />
2014-1-18,54,38,21,11,10,9,60,40,17,30.33,30.23,30.11,10,10,10,16,10,,0.00,0,,353<br />
2014-1-19,54,39,24,13,12,11,60,40,18,30.35,30.21,30.09,10,10,10,17,12,,0.00,0,,347<br />
2014-1-20,55,40,24,14,11,4,62,37,13,30.42,30.23,30.09,10,10,10,22,12,23,0.00,0,,358<br />
2014-1-21,52,35,18,12,9,4,71,40,14,30.48,30.35,30.21,10,10,10,20,10,25,0.00,0,,4<br />
2014-1-22,43,32,21,11,8,5,58,41,21,30.19,30.08,29.95,10,10,10,17,9,,0.00,1,,53<br />
2014-1-23,28,21,10,18,14,7,84,68,51,30.63,30.34,30.03,10,10,9,25,17,33,0.00,3,,150<br />
2014-1-24,41,24,8,14,11,5,88,58,31,30.61,30.50,30.34,10,10,10,18,9,25,0.00,0,,320<br />
2014-1-25,48,34,19,9,7,4,55,36,19,30.35,30.21,30.02,10,10,10,17,8,,0.00,0,,326<br />
2014-1-26,55,39,23,12,9,4,55,33,15,30.10,29.95,29.81,10,10,10,18,8,,0.00,0,,327<br />
2014-1-27,43,34,24,21,16,11,84,57,31,30.11,29.98,29.85,10,10,9,20,10,25,0.00,0,,175<br />
2014-1-28,41,26,10,12,4,-1,61,45,22,30.27,30.14,29.93,10,10,10,17,9,16,0.00,0,,144<br />
2014-1-29,50,33,16,8,4,-1,59,33,15,30.20,30.05,29.85,10,10,10,14,8,,0.00,0,,336<br />
2014-1-30,57,39,21,28,19,7,60,37,26,29.87,29.74,29.59,10,10,10,23,9,30,0.00,2,,253<br />
2014-1-31,53,45,37,27,24,17,59,43,31,29.65,29.59,29.49,10,10,7,33,16,50,0.00,5,Rain,257<br />
