
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-1-1,38,36,34,34,29,21,93,76,55,30.45,30.34,30.26,10,8,3,7,2,,0.16,8,Rain,129<br />
2015-1-2,43,39,34,41,37,33,93,88,81,30.29,30.19,29.98,7,3,1,9,6,,0.55,8,Rain,50<br />
2015-1-3,54,49,44,50,45,38,93,85,76,30.03,29.90,29.80,10,4,0,23,8,29,1.39,8,Fog-Rain,236<br />
2015-1-4,42,34,25,37,25,11,89,64,45,30.71,30.39,30.05,10,10,10,22,11,29,0.00,4,,289<br />
2015-1-5,34,28,22,20,13,8,75,57,39,30.79,30.63,30.42,10,10,10,14,6,18,0.00,1,,71<br />
2015-1-6,52,39,26,29,24,20,85,62,32,30.48,30.43,30.39,10,10,10,9,2,,0.00,1,,109<br />
2015-1-7,37,27,17,27,10,-5,78,53,27,30.91,30.73,30.45,10,10,10,25,11,36,0.00,3,,8<br />
2015-1-8,34,22,10,8,0,-4,58,41,24,30.88,30.57,30.32,10,10,10,16,6,20,0.00,1,,197<br />
2015-1-9,36,30,24,11,7,1,63,39,21,30.61,30.52,30.38,10,10,10,14,7,18,0.00,2,,321<br />
2015-1-10,33,26,18,16,9,4,57,44,31,30.63,30.54,30.41,10,10,10,8,5,,0.00,4,,93<br />
2015-1-11,37,34,30,36,30,17,93,82,48,30.43,30.32,30.19,10,7,2,10,3,,0.50,8,Rain,75<br />
2015-1-12,43,39,35,38,34,24,92,78,64,30.50,30.31,30.17,10,6,2,17,9,24,0.02,8,,356<br />
2015-1-13,35,29,23,23,20,16,85,64,50,30.57,30.50,30.44,10,10,10,15,10,22,0.00,5,,38<br />
2015-1-14,40,31,21,24,20,17,88,64,40,30.47,30.40,30.31,10,10,10,9,3,14,0.00,5,,45<br />
2015-1-15,52,42,32,26,24,22,78,55,32,30.32,30.28,30.24,10,10,10,12,3,15,T,5,,284<br />
2015-1-16,61,44,27,29,26,23,85,55,25,30.33,30.25,30.16,10,10,10,13,4,16,0.00,1,,218<br />
2015-1-17,64,50,36,37,32,28,79,55,28,30.14,30.06,29.95,10,10,10,16,6,26,0.00,2,,219<br />
2015-1-18,68,52,35,31,23,13,70,41,11,30.27,30.16,30.07,10,10,10,16,9,23,0.00,1,,236<br />
2015-1-19,68,50,32,33,28,22,65,45,24,30.08,30.01,29.95,10,10,10,15,6,20,0.00,4,,237<br />
2015-1-20,68,52,35,35,30,18,82,49,16,30.17,30.04,29.95,10,10,10,15,6,20,0.00,3,,358<br />
2015-1-21,60,47,34,36,32,27,89,59,28,30.28,30.23,30.17,10,10,10,10,2,14,0.00,4,,359<br />
2015-1-22,51,46,41,36,33,28,79,61,42,30.45,30.36,30.27,10,10,7,17,10,23,0.15,8,Rain,46<br />
2015-1-23,48,43,37,30,28,26,78,60,41,30.29,30.15,30.05,10,10,7,13,9,22,T,6,,360<br />
2015-1-24,63,46,29,32,27,23,85,53,21,30.09,30.01,29.93,10,10,10,12,6,15,0.00,0,,249<br />
2015-1-25,59,51,42,37,33,30,76,55,35,30.05,29.86,29.74,10,10,10,26,10,41,T,6,,274<br />
2015-1-26,62,48,34,34,30,27,75,51,27,30.17,30.07,29.98,10,10,10,20,7,25,0.00,1,,273<br />
2015-1-27,65,55,45,37,33,28,79,53,23,30.20,30.13,30.02,10,10,10,13,6,,0.00,0,,349<br />
2015-1-28,64,50,35,41,36,33,92,64,36,30.28,30.16,30.03,10,10,7,17,7,25,0.00,2,,138<br />
2015-1-29,64,51,37,44,37,28,70,52,34,30.48,30.21,30.01,10,10,7,20,15,29,0.00,5,,299<br />
2015-1-30,52,42,33,29,25,22,75,56,31,30.57,30.49,30.43,10,10,10,9,7,,0.00,4,,32<br />
2015-1-31,48,44,39,32,28,25,64,52,39,30.40,30.26,30.03,10,10,10,12,6,14,0.00,8,,97<br />
