
PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-2-1,67,53,38,48,44,37,92,70,48,30.19,30.13,30.06,10,5,1,8,1,12,0.00,0,,9<br />
2015-2-2,66,54,41,49,44,39,96,72,48,30.21,30.16,30.09,10,3,0,10,1,13,0.00,0,Fog,325<br />
2015-2-3,69,57,45,52,48,44,93,71,49,30.16,30.12,30.07,10,4,0,6,2,9,0.00,0,Fog,150<br />
2015-2-4,68,56,43,53,47,43,93,76,58,30.11,30.07,30.00,10,3,0,10,0,14,0.00,0,Fog,220<br />
2015-2-5,59,54,49,50,48,46,89,81,72,30.03,29.97,29.89,10,8,4,10,3,14,0.00,0,,162<br />
2015-2-6,63,58,53,56,49,41,89,69,49,29.95,29.86,29.80,10,7,2,22,8,33,1.35,7,Rain-Thunderstorm,158<br />
2015-2-7,66,62,57,59,56,54,93,86,78,30.09,30.03,29.92,10,9,1,20,8,28,0.06,7,Rain,149<br />
2015-2-8,64,61,58,61,57,51,97,82,67,30.05,29.97,29.87,10,6,1,24,8,36,1.34,7,Rain,155<br />
2015-2-9,66,56,46,54,51,45,93,75,56,30.25,30.16,30.04,10,9,2,15,9,22,0.07,5,Rain,183<br />
2015-2-10,62,53,44,46,44,42,93,74,55,30.22,30.16,30.10,10,10,9,16,4,20,0.00,0,,323<br />
2015-2-11,67,53,39,50,45,38,96,74,52,30.21,30.16,30.11,10,9,3,9,0,12,0.00,0,,281<br />
2015-2-12,73,59,45,51,47,43,93,70,47,30.23,30.18,30.15,10,8,0,9,1,10,0.00,0,Fog,318<br />
2015-2-13,73,59,44,54,47,42,93,69,44,30.19,30.12,30.07,10,6,0,10,1,13,0.00,0,Fog,319<br />
2015-2-14,74,59,44,55,49,45,100,75,49,30.13,30.08,30.03,10,8,1,9,1,13,0.00,0,Fog,339<br />
2015-2-15,72,58,43,54,47,42,93,71,49,30.06,30.03,29.97,10,6,0,8,0,10,0.00,0,Fog,31<br />
2015-2-16,73,60,46,54,49,45,93,70,46,30.04,29.99,29.95,10,8,0,12,1,15,0.00,0,Fog,337<br />
2015-2-17,64,57,50,54,50,47,96,86,68,30.15,30.08,30.01,10,7,1,10,5,,0.00,3,,190<br />
2015-2-18,66,55,44,54,49,43,100,82,63,30.23,30.17,30.11,9,3,0,7,2,8,0.00,3,Fog,114<br />
2015-2-19,60,53,45,54,50,45,100,89,78,30.17,30.12,30.06,5,2,0,7,1,8,0.00,7,Fog,180<br />
2015-2-20,66,58,50,52,51,48,100,80,60,30.10,30.03,29.94,10,6,2,12,3,16,0.00,5,,61<br />
2015-2-21,60,54,48,50,48,45,100,84,67,30.00,29.93,29.84,8,4,0,9,4,13,0.00,5,Fog,121<br />
2015-2-22,66,55,43,47,36,16,92,56,20,29.88,29.85,29.80,10,8,2,29,6,40,0.00,1,,348<br />
2015-2-23,64,53,42,28,22,17,53,36,19,30.24,30.05,29.88,10,10,10,29,17,38,0.00,0,,338<br />
2015-2-24,68,50,32,33,28,21,75,47,18,30.36,30.29,30.24,10,10,10,9,3,10,0.00,0,,182<br />
2015-2-25,66,52,37,42,38,33,85,60,34,30.31,30.20,30.08,10,10,9,8,2,12,0.00,0,,256<br />
2015-2-26,73,57,41,47,42,37,83,57,31,30.08,29.97,29.86,10,10,9,20,3,26,0.00,0,,322<br />
2015-2-27,67,55,43,48,45,40,93,71,48,29.87,29.77,29.66,10,10,10,22,4,28,0.00,2,,201<br />
2015-2-28,61,53,44,45,44,42,93,77,61,29.93,29.80,29.70,10,10,7,10,3,14,T,5,,134<br />
