
EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2015-4-1,55,44,34,38,31,26,100,63,32,30.25,30.07,29.88,10,10,10,16,12,23,0.00,1,,303<br />
2015-4-2,67,51,36,44,36,31,100,59,29,30.32,30.15,29.94,10,10,7,25,11,36,0.00,1,,195<br />
2015-4-3,68,63,58,66,61,45,100,91,59,29.92,29.80,29.63,10,10,10,22,14,29,0.01,5,Rain,201<br />
2015-4-4,68,56,43,61,39,19,88,55,24,30.23,29.84,29.54,10,10,10,29,19,41,0.00,3,Rain,276<br />
2015-4-5,64,51,39,31,26,24,60,40,23,30.29,30.22,30.15,10,10,10,22,10,30,0.00,0,,213<br />
2015-4-6,73,60,46,48,41,33,80,52,28,30.26,30.20,30.12,10,10,10,17,12,34,0.00,0,,196<br />
2015-4-7,68,56,44,64,57,45,100,93,65,30.24,30.14,30.09,10,9,4,20,11,25,0.08,6,Rain,164<br />
2015-4-8,45,42,40,45,43,41,100,100,100,30.25,30.19,30.09,10,6,2,16,12,28,0.75,8,Rain,34<br />
2015-4-9,44,42,39,44,41,39,100,100,99,30.27,30.21,30.15,10,8,3,14,9,,0.01,8,,48<br />
2015-4-10,66,53,41,65,48,41,100,100,96,30.18,29.96,29.76,10,5,0,17,7,20,0.04,8,Fog,107<br />
2015-4-11,64,54,45,57,39,30,100,57,28,30.20,30.00,29.83,10,10,9,21,10,28,0.00,0,,292<br />
2015-4-12,61,50,38,43,37,30,100,63,39,30.38,30.30,30.21,10,10,9,13,6,,0.00,0,,155<br />
2015-4-13,75,58,42,57,46,34,100,68,44,30.35,30.25,30.15,10,10,8,17,7,26,0.00,0,,170<br />
2015-4-14,64,57,50,64,58,48,100,99,88,30.14,30.10,30.06,10,8,2,16,9,18,0.65,7,Rain,337<br />
2015-4-15,66,54,44,50,40,28,100,65,25,30.31,30.17,30.08,10,10,7,17,6,,0.00,2,Rain,323<br />
2015-4-16,63,53,44,53,43,36,93,65,39,30.43,30.34,30.23,10,10,0,15,10,,0.00,2,,93<br />
2015-4-17,75,64,53,66,58,54,100,94,62,30.22,30.07,29.91,10,9,3,14,4,20,0.18,6,Rain,185<br />
2015-4-18,74,64,54,60,55,49,100,78,43,30.01,29.95,29.91,10,8,2,10,4,,0.00,0,,177<br />
2015-4-19,61,56,51,55,47,40,100,76,57,30.20,30.08,29.95,10,10,6,23,13,32,0.00,3,Rain,65<br />
2015-4-20,78,65,53,70,60,52,100,94,60,29.91,29.68,29.53,10,6,2,29,19,47,1.17,7,Rain-Thunderstorm,133<br />
2015-4-21,67,59,50,62,51,34,100,74,32,29.79,29.64,29.53,10,9,2,21,8,38,0.27,4,Rain-Thunderstorm,262<br />
2015-4-22,72,58,46,49,43,34,90,58,36,29.78,29.67,29.56,10,10,5,26,10,38,0.00,3,Rain,242<br />
2015-4-23,54,48,41,37,30,26,66,50,37,29.88,29.80,29.74,10,10,10,21,13,32,0.00,4,,291<br />
2015-4-24,56,46,37,30,25,21,69,45,28,29.96,29.90,29.85,10,9,7,24,13,34,0.00,2,,297<br />
2015-4-25,54,45,36,42,32,26,86,60,45,29.98,29.85,29.68,10,10,7,10,8,,0.00,3,,262<br />
2015-4-26,61,52,42,44,39,34,95,69,39,29.70,29.66,29.62,10,10,10,15,7,,0.00,3,,157<br />
2015-4-27,61,50,40,40,36,33,92,56,38,29.77,29.72,29.69,10,10,7,18,8,26,0.00,6,,307<br />
2015-4-28,68,58,48,45,42,39,76,56,42,29.84,29.79,29.75,10,10,7,22,14,32,0.00,3,,301<br />
2015-4-29,74,60,48,50,45,42,83,58,33,29.78,29.71,29.65,10,10,9,14,6,21,0.00,0,,263<br />
2015-4-30,66,58,50,54,51,47,100,80,61,29.82,29.71,29.63,10,10,10,15,8,,0.00,4,,85<br />
