Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-5-1,5,10,1,1
2014-5-2,6,9,1,1
2014-5-3,6,6,1,0
2014-5-4,6,9,2,1
2014-5-5,6,8,3,0
2014-5-6,5,8,2,1
2014-5-7,6,5,1,0
2014-5-8,6,3,1,0
2014-5-9,6,7,1,1
2014-5-10,6,10,2,1
2014-5-11,7,5,2,0
2014-5-12,7,4,2,0
2014-5-13,6,7,2,0
2014-5-14,6,9,2,0
2014-5-15,6,10,2,0
2014-5-16,7,10,3,1
2014-5-17,6,10,2,1
2014-5-18,6,10,2,1
2014-5-19,6,10,3,1
2014-5-20,6,10,3,1
2014-5-21,6,10,1,0
2014-5-22,6,10,1,1
2014-5-23,6,10,1,1
2014-5-24,6,10,1,0
2014-5-25,6,10,1,1
2014-5-26,7,10,1,1
2014-5-27,6,10,1,1
2014-5-28,5,10,2,1
2014-5-29,6,8,1,1
2014-5-30,6,10,1,1
2014-5-31,6,8,1,1
2014-6-1,7,6,1,0
2014-6-2,7,7,1,0
2014-6-3,7,8,2,0
2014-6-4,5,10,1,1
2014-6-5,6,10,1,1
2014-6-6,7,10,2,1
2014-6-7,7,8,2,0
2014-6-8,8,7,1,0
2014-6-9,8,7,1,0
2014-6-10,7,10,2,1
2014-6-11,7,10,1,1
2014-6-12,6,10,1,1
2014-6-13,6,10,2,1
2014-6-14,7,10,1,1
2014-6-15,7,9,2,1
2014-6-16,7,6,2,0
2014-6-17,7,9,1,0
2014-6-18,7,10,2,1
2014-6-19,7,6,2,0
2014-6-20,6,6,2,0
2014-6-21,7,7,2,0
2014-6-22,7,8,1,0
2014-6-23,7,9,1,0
2014-6-24,7,10,2,0
2014-6-25,7,10,1,1
2014-6-26,6,10,2,1
2014-6-27,7,8,1,0
2014-6-28,7,7,1,0
2014-6-29,8,6,1,0
2014-6-30,8,10,1,0
2014-7-1,8,10,2,0
2014-7-2,8,10,2,1
2014-7-3,8,10,1,1
2014-7-4,7,10,1,1
2014-7-5,7,9,3,1
2014-7-6,8,5,2,1
2014-7-7,8,10,2,1
2014-7-8,8,10,2,1
2014-7-9,8,9,2,0
2014-7-10,7,8,1,0
2014-7-11,7,8,1,0
2014-7-12,7,8,1,0
2014-7-13,8,10,2,1
2014-7-14,8,10,1,0
2014-7-15,8,10,1,1
2014-7-16,7,10,1,1
2014-7-17,7,10,1,1
2014-7-18,7,8,1,0
2014-7-19,7,9,1,0
2014-7-20,7,10,1,1
2014-7-21,7,10,1,1
2014-7-22,8,10,1,0
2014-7-23,8,10,1,1
2014-7-24,7,10,2,1
2014-7-25,7,8,1,0
2014-7-26,8,9,1,0
2014-7-27,7,10,1,1
2014-7-28,7,10,2,1
2014-7-29,7,10,1,1
2014-7-30,7,10,1,1
2014-7-31,7,10,1,1
2014-8-1,7,10,1,1
2014-8-2,7,10,1,1
2014-8-3,7,10,1,1
2014-8-4,7,10,1,1
2014-8-5,8,10,1,1
2014-8-6,7,10,1,1
2014-8-7,7,10,1,1
2014-8-8,7,9,2,1
2014-8-9,7,9,1,0
2014-8-10,7,8,1,0
2014-8-11,8,9,1,0
2014-8-12,7,10,2,1
2014-8-13,7,10,2,1
2014-8-14,7,10,2,1
2014-8-15,7,10,1,1
2014-8-16,7,10,1,1
2014-8-17,7,10,1,1
2014-8-18,7,10,2,1
2014-8-19,7,10,1,0
2014-8-20,7,10,1,0
2014-8-21,7,10,1,1
2014-8-22,7,10,1,0
2014-8-23,7,10,1,0
2014-8-24,7,10,1,0
2014-8-25,8,8,1,0
2014-8-26,8,10,1,1
2014-8-27,8,10,1,1
2014-8-28,7,9,2,1
2014-8-29,7,8,1,0
2014-8-30,7,10,2,0
2014-8-31,7,10,1,1
2014-9-1,8,10,1,1
2014-9-2,8,10,1,1
2014-9-3,8,9,2,1
2014-9-4,7,8,1,0
2014-9-5,8,10,1,0
2014-9-6,8,10,1,1
2014-9-7,7,9,1,0
2014-9-8,7,8,1,0
2014-9-9,6,9,1,1
2014-9-10,7,10,1,0
2014-9-11,7,10,2,1
2014-9-12,6,9,2,0
2014-9-13,6,10,1,1
2014-9-14,6,10,2,0
2014-9-15,6,9,1,0
2014-9-16,6,10,1,1
2014-9-17,6,10,1,1
2014-9-18,6,10,2,1
2014-9-19,5,6,1,0
2014-9-20,5,10,2,0
2014-9-21,7,10,1,1
2014-9-22,6,10,2,1
2014-9-23,6,8,2,0
2014-9-24,6,10,1,0
2014-9-25,6,10,1,1
2014-9-26,6,9,1,1
2014-9-27,7,9,1,0
2014-9-28,7,10,1,1
2014-9-29,7,10,2,0
2014-9-30,6,10,2,0
2014-10-1,6,10,2,0
2014-10-2,6,10,2,0
2014-10-3,6,10,1,0
2014-10-4,6,10,1,1
2014-10-5,6,10,1,1
2014-10-6,6,8,1,0
2014-10-7,6,10,2,1
2014-10-8,7,9,2,1
2014-10-9,6,7,2,0
2014-10-10,6,8,1,0
2014-10-11,5,10,1,0
2014-10-12,5,8,1,0
2014-10-13,5,9,1,1
2014-10-14,7,10,1,0
2014-10-15,7,10,2,0
2014-10-16,7,10,2,1
2014-10-17,7,10,2,1
2014-10-18,6,10,1,1
2014-10-19,5,9,2,0
2014-10-20,5,6,2,0
2014-10-21,5,10,2,1
2014-10-22,5,10,3,1
2014-10-23,5,10,4,1
2014-10-24,5,10,3,1
2014-10-25,6,7,1,1
2014-10-26,5,10,2,1
2014-10-27,5,8,2,0
2014-10-28,5,10,1,1
2014-10-29,6,10,1,1
2014-10-30,5,10,1,0
2014-10-31,5,8,1,0
2014-11-1,4,10,3,1
2014-11-2,4,10,4,1
2014-11-3,4,4,3,0
2014-11-4,4,8,1,0
2014-11-5,5,9,1,1
2014-11-6,5,10,1,1
2014-11-7,4,10,3,1
2014-11-8,4,5,2,0
2014-11-9,5,7,1,0
2014-11-10,4,9,1,0
2014-11-11,5,10,1,1
2014-11-12,5,10,1,1
2014-11-13,4,6,1,1
2014-11-14,4,10,1,1
2014-11-15,3,6,1,0
2014-11-16,3,8,1,0
2014-11-17,4,10,1,1
2014-11-18,3,9,2,1
2014-11-19,3,6,2,0
2014-11-20,4,6,1,0
2014-11-21,3,5,2,0
2014-11-22,3,5,1,0
2014-11-23,5,9,1,0
2014-11-24,5,10,2,1
2014-11-25,6,8,2,0
2014-11-26,4,10,2,1
2014-11-27,3,10,3,1
2014-11-28,3,10,1,1
2014-11-29,3,8,1,0
2014-11-30,3,10,1,1
2014-12-1,5,9,2,1
2014-12-2,3,6,2,1
2014-12-3,3,10,2,1
