Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events0
2014-5-5,7,1,2,0
2014-5-6,6,1,2,0
2014-5-7,6,1,2,0
2014-5-8,5,4,2,1
2014-5-9,5,2,2,0
2014-5-10,6,1,2,0
2014-5-11,6,1,2,0
2014-5-12,5,6,2,1
2014-5-13,4,7,2,0
2014-5-14,5,3,2,0
2014-5-15,5,1,1,0
2014-5-16,6,1,1,0
2014-5-17,7,1,3,0
2014-5-18,7,1,2,0
2014-5-19,6,1,2,0
2014-5-20,6,1,2,0
2014-5-21,7,1,2,0
2014-5-22,7,4,3,1
2014-5-23,6,10,2,1
2014-5-24,6,10,3,1
2014-5-25,5,10,2,1
2014-5-26,6,10,1,1
2014-5-27,7,4,2,0
2014-5-28,7,2,2,0
2014-5-29,7,4,2,1
2014-5-30,7,5,2,1
2014-5-31,7,2,2,0
2014-6-1,7,1,2,0
2014-6-2,7,1,2,0
2014-6-3,8,1,3,0
2014-6-4,7,1,2,0
2014-6-5,7,1,2,0
2014-6-6,8,1,3,0
2014-6-7,7,5,3,1
2014-6-8,7,5,3,1
2014-6-9,7,1,2,0
2014-6-10,7,1,2,0
2014-6-11,8,1,2,0
2014-6-12,8,1,2,0
2014-6-13,7,6,3,1
2014-6-14,7,2,2,0
2014-6-15,7,1,2,0
2014-6-16,8,1,2,0
2014-6-17,7,1,2,1
2014-6-18,7,1,2,0
2014-6-19,7,1,1,0
2014-6-20,8,1,2,0
2014-6-21,8,2,2,0
2014-6-22,8,1,2,0
2014-6-23,8,2,2,0
2014-6-24,8,1,3,0
2014-6-25,8,2,2,0
2014-6-26,8,1,2,0
2014-6-27,8,1,2,0
2014-6-28,8,1,2,0
2014-6-29,8,1,2,0
2014-6-30,8,1,2,0
2014-7-1,8,3,3,1
2014-7-2,7,7,2,1
2014-7-3,7,7,2,1
2014-7-4,7,5,1,0
2014-7-5,8,5,2,0
2014-7-6,8,4,2,1
2014-7-7,8,5,1,1
2014-7-8,8,5,2,1
2014-7-9,7,7,3,1
2014-7-10,8,4,1,0
2014-7-11,8,5,1,1
2014-7-12,8,5,1,1
2014-7-13,7,6,1,1
2014-7-14,8,7,3,1
2014-7-15,7,10,2,1
2014-7-16,7,9,3,1
2014-7-17,7,7,2,1
2014-7-18,8,7,2,0
2014-7-19,8,4,2,0
2014-7-20,8,4,2,1
2014-7-21,8,3,2,1
2014-7-22,8,4,2,1
2014-7-23,8,7,2,1
2014-7-24,8,3,1,0
2014-7-25,8,2,1,1
2014-7-26,8,2,2,0
2014-7-27,8,8,3,1
2014-7-28,7,9,3,1
2014-7-29,7,10,1,1
2014-7-30,8,7,1,1
2014-7-31,7,10,3,1
2014-8-1,7,10,2,1
2014-8-2,7,9,2,1
2014-8-3,7,6,2,0
2014-8-4,7,10,2,1
2014-8-5,7,8,1,0
2014-8-6,7,6,1,0
2014-8-7,7,7,1,1
2014-8-8,7,6,1,0
2014-8-9,7,4,1,1
2014-8-10,7,5,2,1
2014-8-11,7,6,2,1
2014-8-12,7,6,1,0
2014-8-13,8,8,2,1
2014-8-14,7,9,2,1
2014-8-15,7,6,2,1
2014-8-16,8,4,2,0
2014-8-17,8,3,2,1
2014-8-18,8,3,1,0
2014-8-19,7,3,1,0
2014-8-20,8,5,1,1
2014-8-21,7,2,1,0
2014-8-22,7,9,1,1
2014-8-23,7,8,1,1
2014-8-24,7,4,1,0
2014-8-25,7,3,1,0
2014-8-26,7,9,1,1
2014-8-27,7,10,1,1
2014-8-28,7,6,1,0
2014-8-29,7,4,1,0
2014-8-30,7,3,1,0
2014-8-31,8,1,2,0
2014-9-1,7,1,2,0
2014-9-2,8,1,2,0
2014-9-3,8,1,1,0
2014-9-4,8,4,2,1
2014-9-5,7,7,2,1
2014-9-6,7,8,2,0
2014-9-7,7,7,2,0
2014-9-8,7,6,1,0
2014-9-9,8,7,2,0
2014-9-10,7,4,2,0
2014-9-11,7,7,2,0
2014-9-12,6,8,2,0
2014-9-13,6,7,2,0
2014-9-14,7,7,1,0
2014-9-15,7,6,2,1
2014-9-16,7,9,1,0
2014-9-17,6,9,1,1
2014-9-18,7,6,2,0
2014-9-19,7,8,1,0
2014-9-20,8,6,2,0
2014-9-21,7,6,3,1
2014-9-22,7,10,2,1
2014-9-23,7,10,1,0
2014-9-24,7,5,2,0
2014-9-25,7,6,2,0
2014-9-26,7,7,2,0
2014-9-27,7,7,1,0
2014-9-28,7,7,2,0
2014-9-29,6,7,3,1
2014-9-30,6,4,2,0
2014-10-1,6,3,2,0
2014-10-2,6,2,2,0
2014-10-3,6,1,2,0
2014-10-4,6,2,2,0
2014-10-5,6,1,2,0
2014-10-6,7,1,2,0
2014-10-7,6,1,2,0
2014-10-8,6,1,2,1
2014-10-9,6,10,2,1
2014-10-10,6,10,1,1
2014-10-11,6,10,2,1
2014-10-12,6,6,2,1
2014-10-13,5,5,2,0
2014-10-14,5,4,2,0
2014-10-15,6,2,2,0
2014-10-16,6,2,1,0
2014-10-17,6,2,2,0
2014-10-18,6,7,2,1
2014-10-19,6,7,2,1
2014-10-20,6,8,2,1
2014-10-21,6,10,1,0
2014-10-22,6,10,1,1
2014-10-23,6,5,2,0
2014-10-24,6,3,2,0
2014-10-25,6,1,2,0
2014-10-26,6,4,1,1
2014-10-27,6,3,2,0
2014-10-28,6,4,2,0
2014-10-29,6,1,2,0
2014-10-30,6,1,2,0
2014-10-31,6,3,2,0
2014-11-1,6,5,2,0
2014-11-2,5,10,2,1
2014-11-3,5,9,1,0
2014-11-4,4,8,1,0
2014-11-5,5,5,2,0
2014-11-6,5,4,2,1
2014-11-7,5,3,2,0
2014-11-8,5,5,1,0
2014-11-9,5,5,2,0
2014-11-10,6,3,2,0
2014-11-11,5,4,2,0
2014-11-12,3,7,4,0
2014-11-13,3,8,3,0
2014-11-14,4,6,1,0
2014-11-15,5,5,2,1
2014-11-16,4,10,3,1
2014-11-17,3,9,1,0
2014-11-18,3,6,2,0
2014-11-19,4,4,2,0
2014-11-20,4,3,2,0
2014-11-21,4,5,2,0
2014-11-22,4,5,2,0
2014-11-23,4,4,2,1
2014-11-24,3,7,2,1
2014-11-25,3,5,2,0
2014-11-26,5,3,2,0
2014-11-27,5,5,2,0
2014-11-28,5,3,1,0
2014-11-29,5,1,2,0
2014-11-30,4,2,1,0
2014-12-1,4,4,1,0
2014-12-2,4,4,2,0
2014-12-3,4,5,1,0
2014-12-4,5,10,2,1
2014-12-5,5,10,1,0
2014-12-6,5,10,1,1
2014-12-7,5,10,1,1
2014-12-8,5,8,2,0
2014-12-9,5,8,2,0
2014-12-10,5,6,3,0
2014-12-11,5,6,3,0
2014-12-12,5,8,2,0
2014-12-13,5,10,2,1
2014-12-14,4,10,3,1
2014-12-15,4,7,2,0
2014-12-16,4,8,2,0
2014-12-17,3,10,1,1
2014-12-18,3,10,1,0
2014-12-19,3,9,2,0
2014-12-20,3,9,2,0
2014-12-21,4,8,3,0
2014-12-22,5,10,4,1
2014-12-23,3,7,2,0
2014-12-24,3,6,2,0
2014-12-25,4,7,1,1
2014-12-26,2,10,1,1
2014-12-27,2,9,1,0
2014-12-28,3,7,2,0
2014-12-29,3,6,1,0
2014-12-30,2,9,4,1
2014-12-31,2,9,2,1
2015-1-1,2,10,2,1
2015-1-2,3,7,3,0
2015-1-3,3,7,2,0
2015-1-4,3,7,1,0
2015-1-5,4,5,2,0
2015-1-6,5,5,2,0
2015-1-7,4,10,3,0
2015-1-8,4,10,2,0
2015-1-9,3,10,2,0
2015-1-10,4,10,2,0
2015-1-11,4,10,2,1
2015-1-12,4,10,2,1
2015-1-13,3,10,2,1
2015-1-14,3,10,1,1
2015-1-15,4,10,2,0
2015-1-16,4,8,2,0
2015-1-17,4,5,2,0
2015-1-18,4,6,1,0
2015-1-19,5,5,2,0
2015-1-20,4,6,2,0
2015-1-21,4,10,3,1
2015-1-22,3,10,1,1
2015-1-23,3,9,2,0
2015-1-24,4,8,2,0
2015-1-25,4,6,2,0
2015-1-26,5,6,2,0
2015-1-27,5,7,3,0
2015-1-28,5,7,2,0
2015-1-29,5,5,2,0
2015-1-30,4,10,2,1
2015-1-31,4,10,1,1
2015-2-1,4,10,1,1
2015-2-2,4,8,1,0
2015-2-3,4,8,2,0
2015-2-4,5,7,1,0
2015-2-5,4,7,1,0
2015-2-6,5,4,2,0
2015-2-7,5,3,2,0
2015-2-8,5,3,2,0
2015-2-9,5,5,2,0
2015-2-10,5,4,2,0
2015-2-11,4,9,2,1
2015-2-12,4,10,1,1
2015-2-13,5,5,2,0
2015-2-14,5,3,2,0
2015-2-15,5,4,2,0
2015-2-16,4,8,3,1
2015-2-17,4,8,2,1
2015-2-18,5,1,2,0
2015-2-19,5,2,2,0
2015-2-20,5,1,2,0
2015-2-21,4,3,2,0
2015-2-22,3,8,3,1
2015-2-23,2,9,3,1
2015-2-24,3,10,2,1
2015-2-25,4,10,2,0
2015-2-26,3,10,3,1
2015-2-27,2,10,4,1
2015-2-28,3,10,2,1
2015-3-1,5,10,1,1
2015-3-2,4,10,3,1
2015-3-3,4,8,1,0
2015-3-4,4,8,2,0
2015-3-5,3,6,2,0
2015-3-6,4,3,2,0
2015-3-7,5,2,2,0
2015-3-8,5,3,2,0
2015-3-9,5,6,1,0
2015-3-10,5,4,2,0
2015-3-11,5,2,2,0
2015-3-12,5,2,1,0
2015-3-13,5,4,2,1
2015-3-14,5,4,2,0
2015-3-15,5,2,1,0
2015-3-16,5,1,1,0
2015-3-17,5,5,2,0
2015-3-18,6,8,2,1
2015-3-19,5,10,1,1
2015-3-20,5,10,1,1
2015-3-21,5,9,2,0
2015-3-22,5,4,1,0
2015-3-23,5,2,2,0
2015-3-24,6,1,2,0
2015-3-25,5,3,2,0
2015-3-26,5,4,1,0
2015-3-27,6,1,2,0
2015-3-28,6,1,2,0
2015-3-29,6,1,1,0
2015-3-30,6,1,2,0
2015-3-31,6,1,2,0
2015-4-1,6,1,2,0
2015-4-2,6,1,2,0
2015-4-3,5,1,2,0
2015-4-4,5,5,2,0
2015-4-5,6,2,1,0
2015-4-6,5,1,2,0
2015-4-7,5,1,2,0
2015-4-8,6,1,2,0
2015-4-9,5,1,2,0
2015-4-10,5,2,3,0
2015-4-11,6,2,2,0
2015-4-12,6,1,2,0
2015-4-13,6,1,2,0
2015-4-14,5,2,2,0
2015-4-15,6,2,2,0
2015-4-16,4,1,2,0
2015-4-17,4,3,2,1
2015-4-18,5,10,2,1
2015-4-19,5,4,2,0
2015-4-20,6,3,3,1
2015-4-21,6,1,2,0
2015-4-22,6,1,3,0
2015-4-23,6,1,2,0
2015-4-24,5,5,2,1
2015-4-25,5,4,1,0
2015-4-26,5,10,2,1
2015-4-27,5,10,2,1
2015-4-28,5,6,1,0
2015-4-29,6,3,2,0
2015-4-30,6,1,1,0
2015-5-1,7,1,2,0
2015-5-2,7,1,2,1
2015-5-3,6,4,2,1
2015-5-4,6,7,2,1
2015-5-5,5,10,1,0

