Date, Mean TemperatureF, Mean Humidity, Mean Wind SpeedMPH, Events
2014-1-1, 38, 66, 4, , 
2014-1-2, 38, 79, 3, Rain-Snow, 
2014-1-3, 27, 62, 14, Snow, 
2014-1-4, 28, 55, 5, , 
2014-1-5, 49, 72, 4, Rain, 
2014-1-6, 41, 62, 16, Rain, 
2014-1-7, 16, 39, 12, , 
2014-1-8, 25, 48, 3, , 
2014-1-9, 37, 52, 4, , 
2014-1-10, 37, 84, 4, Rain, 
2014-1-11, 54, 92, 9, Fog-Rain-Thunderstorm, 
2014-1-12, 47, 64, 8, , 
2014-1-13, 48, 61, 9, , 
2014-1-14, 45, 80, 6, Fog-Rain, 
2014-1-15, 47, 81, 7, Fog-Rain, 
2014-1-16, 36, 76, 8, Snow, 
2014-1-17, 39, 65, 7, , 
2014-1-18, 35, 54, 9, , 
2014-1-19, 39, 49, 11, , 
2014-1-20, 47, 41, 11, , 
2014-1-21, 31, 71, 13, Snow, 
2014-1-22, 17, 54, 11, Snow, 
2014-1-23, 19, 56, 8, , 
2014-1-24, 18, 39, 9, , 
2014-1-25, 27, 40, 16, , 
2014-1-26, 30, 41, 8, , 
2014-1-27, 46, 47, 11, , 
2014-1-28, 21, 53, 11, Snow, 
2014-1-29, 19, 62, 6, Snow, 
2014-1-30, 20, 57, 2, , 
2014-1-31, 32, 50, 3, , 
2014-2-1, 40, 54, 3, , 
2014-2-2, 52, 57, 5, , 
2014-2-3, 43, 84, 10, Rain, 
2014-2-4, 37, 77, 6, Rain, 
2014-2-5, 41, 75, 9, Rain, 
2014-2-6, 36, 51, 8, , 
2014-2-7, 37, 63, 3, , 
2014-2-8, 37, 64, 4, , 
2014-2-9, 36, 71, 4, , 
2014-2-10, 33, 63, 5, Snow, 
2014-2-11, 29, 48, 7, , 
2014-2-12, 25, 66, 9, Fog-Snow, 
2014-2-13, 32, 91, 15, Fog-Rain-Snow, 
2014-2-14, 43, 59, 12, , 
2014-2-15, 37, 68, 9, Rain, 
2014-2-16, 36, 51, 8, , 
2014-2-17, 33, 54, 8, , 
2014-2-18, 46, 53, 9, Rain-Snow, 
2014-2-19, 56, 54, 11, Rain, 
2014-2-20, 48, 50, 5, , 
2014-2-21, 58, 72, 12, Rain-Thunderstorm, 
2014-2-22, 51, 49, 6, , 
2014-2-23, 53, 44, 8, , 
2014-2-24, 44, 47, 9, , 
2014-2-25, 37, 59, 2, , 
2014-2-26, 36, 61, 3, , 
2014-2-27, 37, 47, 11, , 
2014-2-28, 27, 36, 8, , 
2014-3-1, 37, 44, 3, , 
2014-3-2, 54, 57, 9, Rain, 
2014-3-3, 28, 70, 14, Fog-Rain-Snow, 
2014-3-4, 23, 54, 6, , 
2014-3-5, 36, 43, 7, , 
2014-3-6, 34, 61, 12, , 
